revenue_month_date,2021-03-01,2021-03-01,2021-03-01,2021-04-01,2021-04-01,2021-04-01,2021-05-01,2021-05-01,2021-05-01,2021-06-01,2021-06-01,2021-06-01,2021-07-01,2021-07-01,2021-07-01,2021-08-01,2021-08-01,2021-08-01,2021-09-01,2021-09-01,2021-09-01,2021-10-01,2021-10-01,2021-10-01,2021-11-01,2021-11-01,2021-11-01,2021-12-01,2021-12-01,2021-12-01,2022-01-01,2022-01-01,2022-01-01,2022-02-01,2022-02-01,2022-02-01,2022-03-01,2022-03-01,2022-03-01
country_name,Austria,Germany,Switzerland,Austria,Germany,Switzerland,Austria,Germany,Switzerland,Austria,Germany,Switzerland,Austria,Germany,Switzerland,Austria,Germany,Switzerland,Austria,Germany,Switzerland,Austria,Germany,Switzerland,Austria,Germany,Switzerland,Austria,Germany,Switzerland,Austria,Germany,Switzerland,Austria,Germany,Switzerland,Austria,Germany,Switzerland
active_sub_content,1559,80553,22117,194,5810,3769,26,1218,2495,26,1038,2414,26,1024,2414,26,1028,2421,26,1028,2424,26,1031,2426,26,1031,2429,26,1036,2433,26,1042,2438,26,1049,2442,11,72,160
