Vendor Name	Zattoo Europe Ltd.
Start Date	02/27/2022
End Date	03/26/2022
Transaction Date	Settlement Date	Apple Identifier	SKU	Title	Developer Name	Product Type Identifier	Country of Sale	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Customer Price	Customer Currency	Sale or Return	Promo Code	Order Type	Region
03/23/2022	03/23/2022	1532193042	freetrial.at.zattoo.ios.at.auto.10	freetrial.at.zattoo.ios.at.auto_1199_30		IAY	AT	4	8.49	33.96	EUR	11.990	EUR	S				
03/03/2022	03/03/2022	1532193042	freetrial.at.zattoo.ios.at.auto.10	freetrial.at.zattoo.ios.at.auto_1199_30		IAY	AT	5	8.49	42.45	EUR	11.990	EUR	S				
03/18/2022	03/18/2022	1532193042	freetrial.at.zattoo.ios.at.auto.10	freetrial.at.zattoo.ios.at.auto_1199_30		IAY	AT	3	8.49	25.47	EUR	11.990	EUR	S				
02/26/2022	02/27/2022	1532193042	freetrial.at.zattoo.ios.at.auto.10	freetrial.at.zattoo.ios.at.auto_1199_30		IAY	AT	1	8.49	8.49	EUR	11.990	EUR	S				
03/20/2022	03/21/2022	1532193042	freetrial.at.zattoo.ios.at.auto.10	freetrial.at.zattoo.ios.at.auto_1199_30		IAY	AT	1	8.49	8.49	EUR	11.990	EUR	S				
02/26/2022	02/27/2022	1532193042	freetrial.at.zattoo.ios.at.auto.10	freetrial.at.zattoo.ios.at.auto_1199_30		IAY	AT	-1	8.49	-8.49	EUR	-11.990	EUR	R				
03/08/2022	03/09/2022	1532193042	freetrial.at.zattoo.ios.at.auto.10	freetrial.at.zattoo.ios.at.auto_1199_30		IAY	AT	2	8.49	16.98	EUR	11.990	EUR	S				
03/20/2022	03/20/2022	1532193042	freetrial.at.zattoo.ios.at.auto.10	freetrial.at.zattoo.ios.at.auto_1199_30		IAY	AT	2	8.49	16.98	EUR	11.990	EUR	S				
02/28/2022	02/28/2022	1532195216	freetrial.at.zattoo.ios.at.auto.ult.10	freetrial.at.zattoo.ios.at.auto_ult_1499_30		IAY	AT	40	10.62	424.80	EUR	14.990	EUR	S				
03/04/2022	03/05/2022	1532195216	freetrial.at.zattoo.ios.at.auto.ult.10	freetrial.at.zattoo.ios.at.auto_ult_1499_30		IAY	AT	5	10.62	53.10	EUR	14.990	EUR	S				
03/06/2022	03/07/2022	1532195216	freetrial.at.zattoo.ios.at.auto.ult.10	freetrial.at.zattoo.ios.at.auto_ult_1499_30		IAY	AT	3	10.62	31.86	EUR	14.990	EUR	S				
